CATEGORIA,SUBCATEGORIA,Ano,Producao
VINHO DE MESA,VINHO DE MESA,2009,205418206
VINHO DE MESA,Tinto,2009,164143454
VINHO DE MESA,Branco,2009,39211278
VINHO DE MESA,Rosado,2009,2063474
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2009,39900568
VINHO FINO DE MESA,Tinto,2009,18209043
VINHO FINO DE MESA,Branco,2009,21366975
VINHO FINO DE MESA,Rosado,2009,324550
SUCO,SUCO,2009,39715098
SUCO,Suco de uva integral,2009,16034003
SUCO,Suco de uva concentrado,2009,23006457
SUCO,Suco de uva adoçado,2009,674638
SUCO,Suco de uva orgânico,2009,0
SUCO,Suco de uva reconstituído,2009,0
DERIVADOS,DERIVADOS,2009,56787892
DERIVADOS,Espumante,2009,0
DERIVADOS,Espumante moscatel,2009,1190500
DERIVADOS,Base espumante,2009,335850
DERIVADOS,Base espumante moscatel,2009,442150
DERIVADOS,Base Champenoise champanha,2009,0
DERIVADOS,Base Charmat champanha,2009,0
DERIVADOS,Bebida de uva,2009,420
DERIVADOS,Polpa de uva,2009,1352417
DERIVADOS,Mosto simples,2009,53418555
DERIVADOS,Mosto concentrado,2009,0
DERIVADOS,Mosto de uva com bagaço,2009,0
DERIVADOS,Mosto dessulfitado,2009,0
DERIVADOS,Mistelas,2009,3500
DERIVADOS,Néctar de uva,2009,0
DERIVADOS,Licorosos,2009,38000
DERIVADOS,Compostos,2009,0
DERIVADOS,Jeropiga,2009,0
DERIVADOS,Filtrado,2009,0
DERIVADOS,Frisante,2009,0
DERIVADOS,Vinho leve,2009,0
DERIVADOS,Vinho licoroso,2009,0
DERIVADOS,Brandy,2009,0
DERIVADOS,Destilado,2009,0
DERIVADOS,Bagaceira,2009,6500
DERIVADOS,Licor de bagaceira,2009,0
DERIVADOS,Vinagre,2009,0
DERIVADOS,Borra líquida,2009,0
DERIVADOS,Borra seca,2009,0
DERIVADOS,Vinho Composto,2009,0
DERIVADOS,Pisco,2009,0
DERIVADOS,Vinho orgânico,2009,0
DERIVADOS,Espumante orgânico,2009,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2009,0
DERIVADOS,Vinho acidificado,2009,0
DERIVADOS,Mosto parcialmente fermentado,2009,0
DERIVADOS,Outros derivados,2009,0
VINHO DE MESA,VINHO DE MESA,2010,195267980
VINHO DE MESA,Tinto,2010,157290088
VINHO DE MESA,Branco,2010,35408083
VINHO DE MESA,Rosado,2010,2569809
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2010,24805713
VINHO FINO DE MESA,Tinto,2010,11401406
VINHO FINO DE MESA,Branco,2010,13013027
VINHO FINO DE MESA,Rosado,2010,391280
SUCO,SUCO,2010,50125944
SUCO,Suco de uva integral,2010,26887259
SUCO,Suco de uva concentrado,2010,23238685
SUCO,Suco de uva adoçado,2010,0
SUCO,Suco de uva orgânico,2010,0
SUCO,Suco de uva reconstituído,2010,0
DERIVADOS,DERIVADOS,2010,51210756
DERIVADOS,Espumante,2010,10125
DERIVADOS,Espumante moscatel,2010,703393
DERIVADOS,Base espumante,2010,0
DERIVADOS,Base espumante moscatel,2010,1144508
DERIVADOS,Base Champenoise champanha,2010,92082
DERIVADOS,Base Charmat champanha,2010,254000
DERIVADOS,Bebida de uva,2010,7900
DERIVADOS,Polpa de uva,2010,1951606
DERIVADOS,Mosto simples,2010,45912040
DERIVADOS,Mosto concentrado,2010,0
DERIVADOS,Mosto de uva com bagaço,2010,0
DERIVADOS,Mosto dessulfitado,2010,0
DERIVADOS,Mistelas,2010,0
DERIVADOS,Néctar de uva,2010,0
DERIVADOS,Licorosos,2010,0
DERIVADOS,Compostos,2010,0
DERIVADOS,Jeropiga,2010,69000
DERIVADOS,Filtrado,2010,0
DERIVADOS,Frisante,2010,831000
DERIVADOS,Vinho leve,2010,0
DERIVADOS,Vinho licoroso,2010,15000
DERIVADOS,Brandy,2010,0
DERIVADOS,Destilado,2010,0
DERIVADOS,Bagaceira,2010,0
DERIVADOS,Licor de bagaceira,2010,0
DERIVADOS,Vinagre,2010,5817
DERIVADOS,Borra líquida,2010,64304
DERIVADOS,Borra seca,2010,149981
DERIVADOS,Vinho Composto,2010,0
DERIVADOS,Pisco,2010,0
DERIVADOS,Vinho orgânico,2010,0
DERIVADOS,Espumante orgânico,2010,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2010,0
DERIVADOS,Vinho acidificado,2010,0
DERIVADOS,Mosto parcialmente fermentado,2010,0
DERIVADOS,Outros derivados,2010,0
VINHO DE MESA,VINHO DE MESA,2011,257840749
VINHO DE MESA,Tinto,2011,210113358
VINHO DE MESA,Branco,2011,46007504
VINHO DE MESA,Rosado,2011,1719887
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2011,47598471
VINHO FINO DE MESA,Tinto,2011,24104740
VINHO FINO DE MESA,Branco,2011,22739426
VINHO FINO DE MESA,Rosado,2011,754305
SUCO,SUCO,2011,69364324
SUCO,Suco de uva integral,2011,39487800
SUCO,Suco de uva concentrado,2011,29564324
SUCO,Suco de uva adoçado,2011,312200
SUCO,Suco de uva orgânico,2011,0
SUCO,Suco de uva reconstituído,2011,0
DERIVADOS,DERIVADOS,2011,85748723
DERIVADOS,Espumante,2011,26361
DERIVADOS,Espumante moscatel,2011,219100
DERIVADOS,Base espumante,2011,0
DERIVADOS,Base espumante moscatel,2011,2749540
DERIVADOS,Base Champenoise champanha,2011,74746
DERIVADOS,Base Charmat champanha,2011,865858
DERIVADOS,Bebida de uva,2011,0
DERIVADOS,Polpa de uva,2011,2480120
DERIVADOS,Mosto simples,2011,77285998
DERIVADOS,Mosto concentrado,2011,0
DERIVADOS,Mosto de uva com bagaço,2011,1037600
DERIVADOS,Mosto dessulfitado,2011,0
DERIVADOS,Mistelas,2011,0
DERIVADOS,Néctar de uva,2011,0
DERIVADOS,Licorosos,2011,0
DERIVADOS,Compostos,2011,0
DERIVADOS,Jeropiga,2011,0
DERIVADOS,Filtrado,2011,0
DERIVADOS,Frisante,2011,1003800
DERIVADOS,Vinho leve,2011,0
DERIVADOS,Vinho licoroso,2011,0
DERIVADOS,Brandy,2011,0
DERIVADOS,Destilado,2011,0
DERIVADOS,Bagaceira,2011,0
DERIVADOS,Licor de bagaceira,2011,0
DERIVADOS,Vinagre,2011,0
DERIVADOS,Borra líquida,2011,0
DERIVADOS,Borra seca,2011,0
DERIVADOS,Vinho Composto,2011,0
DERIVADOS,Pisco,2011,0
DERIVADOS,Vinho orgânico,2011,5600
DERIVADOS,Espumante orgânico,2011,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2011,0
DERIVADOS,Vinho acidificado,2011,0
DERIVADOS,Mosto parcialmente fermentado,2011,0
DERIVADOS,Outros derivados,2011,0
VINHO DE MESA,VINHO DE MESA,2012,212777037
VINHO DE MESA,Tinto,2012,175875432
VINHO DE MESA,Branco,2012,34938249
VINHO DE MESA,Rosado,2012,1963356
